Airline,Flight_Number,Route,Departure_Airport,Arrival_Airport,Departure_Time,Arrival_Time,Delay_Minutes,Cancelled,Cancellation_Reason,Ticket_Price,Passenger_Count,Aircraft_Type,Distance_km,On_Time_Percent,Class,Loyalty_Member,Baggage_Allowance,Fuel_Surcharge,Gate,Terminal,Crew_Size
Kenya Airways,1207,FRA-AMS,AMS,LAX,2020-03-03 09:07,2020-03-03 13:01,,No,,450.15,182,A380,6620,100,Economy,No,2pc,43.06,Q7,,10
Kneya Airways,836,ORD-DOH,JFK,NBO,2022-09-17 05:15,2022-09-17 11:03,71,No,,501.88,178,A320,14727,84.69,Business,Yes,2pc,5.41,M6,T1,13
Air France,583,NBO-FRA,AMS,SIN,2022-03-22 07:05,2022-03-22 16:05,73,No,,192.49,49,A320,11520,83.04,Economy,No,1pc,23.59,B12,,17
Ethiopian Airlines,2707,ORD-AMS,CDG,LOS,,2020-11-21 10:09,68,No,,-,-,A380,10704,73.69,Business,No,20kg,28.58,Q26,T4,5
Singapore Airlines,3896,IST-LAX,LOS,AMS,2020-08-18 12:46,2020-08-18 17:00,49,No,,434.5,74,A380,7919,95.03,First,No,2pc,33.53,B22,,9
American Airlines,1681,CDG-AMS,LOS,ATL,2022-11-27 23:04,2022-11-28 05:33,,No,,301.66,14,A320,11139,100,First,Yes,20kg,25.22,N4,T2,4
Qatar Airways,1840,LAX-LOS,LHR,FRA,2021-06-12 11:57,2021-06-12 15:51,98,No,,419.5,96,CRJ900,14396,100,First,No,2pc,18.74,N1,,18
,8282,DOH-ORD,FRA,AMS,2023-03-12 12:10,2023-03-12 20:38,32,No,,757.27,118,B777,8880,100,Business,No,1pc,42.26,D40,T3,8
Ethiopian Airlines,7905,SIN-DOH,ORD,ATL,2021-05-14 21:54,2021-05-15 04:47,28,No,,500.71,288,B777,7576,96.07,First,No,2pc,40.53,,,8
Turkish Airlines,5402,LOS-JFK,IST,DXB,2020-08-21 00:35,2020-08-21 09:53,104,No,,210.26,30,B777,3696,48.5,Business,Yes,2pc,26.21,D7,T4,19
Delta Air Lines,3893,DOH-ORD,DOH,JFK,2024-08-26 14:43,2024-08-26 18:03,-94,No,,346.26,188,B737,8435,70.94,First,No,1pc,12.09,I21,T4,19
Singapore Airlines,3976,LOS-IST,JFK,LAX,2020-10-16 06:23,2020-10-16 08:55,,No,,,197,A350,12700,100,Economy,Yes,2pc,33.06,,,17
Lufthansa,1827,FRA-ORD,DXB,DXB,2022-11-15 23:25,2022-11-16 04:23,6,No,,483.07,221,B737,14540,97.72,Economy,No,2pc,31.82,R6,T1,18
United Airlines,2950,ORD-LOS,ORD,LOS,2025-01-19 14:07,2025-01-19 18:31,65,No,,397.91,221,A320,8653,97.82,Business,Yes,1pc,23.33,O1,,17
Turkish Airlines,6392,FRA-SIN,CDG,CDG,2025-03-21 12:40,2025-03-21 22:59,54,No,,729.06,296,A350,1139,69.02,Economy,Yes,20kg,10.45,P34,,8
Delta Air Lines,6982,LHR-LOS,SIN,JFK,2024-02-08 19:27,2024-02-09 03:39,117,No,,304.66,129,B737,2134,56.63,Business,No,2pc,27.28,W13,T2,
United Airlines,1154,ATL-LAX,CDG,FRA,2020-04-06 07:01,2020-04-06 12:05,19,No,,4.02,78,B777,1901,88.65,Economy,Yes,23kg,37.67,P36,,5
Qatar Airways,1114,AMS-LOS,LOS,LOS,2023-09-02 01:47,2023-09-02 08:03,,No,,392.91,111,B777,1244,86.04,First,Yes,23kg,39.17,H38,T2,8
,4203,LAX-NBO,LAX,IST,2025-07-23 18:34,2025-07-24 00:28,-2,No,,261.77,293,B737,13414,82.19,Economy,Yes,2pc,29.56,E26,-,15
Ethiopian Airlines,1975,ORD-LHR,AMS,AMS,2021-05-27 15:04,2021-05-28 02:43,1,No,,49.19,,CRJ900,3585,90.24,Economy,No,1pc,23.77,Y17,,8
United Airlines,713,ORD-NBO,LAX,ORD,2025-03-01 20:53,2025-03-02 02:34,27,No,,209.3,96,B777,742,85.77,First,Yes,1pc,37.34,C25,T1,13
Qatar Airways,1294,ATL-IST,ATL,ORD,2023-09-11 00:19,2023-09-11 01:35,79,No,,278.32,285,A320,10897,89.28,Business,Yes,No,18.63,G4,,16
United Airlines,7334,NBO-FRA,LHR,ORD,2021-05-03 02:30,2021-05-03 04:40,80,No,,577.96,106,A320,5935,82.83,Business,No,2pc,16.45,A39,T4,
Delta Air Lines,6232,NBO-DXB,FRA,NBO,2020-06-15 09:24,2020-06-15 14:52,12,No,,53.35,,A320,3020,100,Economy,No,20kg,29.12,V37,T1,4
Lufthansa,582,SIN-DOH,CDG,IST,2020-11-10 14:19,2020-11-10 20:43,25,No,,419.96,182,B777,11456,97.19,First,Yes,2pc,45.46,S36,T2,20
Qatar Airways,2951,LOS-IST,DOH,FRA,2022-10-25 16:12,2022-10-25 22:16,-9,No,,794.1,-,A320,9711,100,First,Yes,20kg,45.84,E12,T4,13
KLM,5361,DOH-NBO,JFK,DOH,2021-09-30 14:57,2021-09-30 23:27,-5,No,,315.03,81,B777,2664,79.65,First,No,20kg,16.82,W32,,20
Kenya Airways,1863,DXB-JFK,DXB,SIN,2021-08-13 06:15,2021-08-13 07:21,56,No,,309.15,271,A380,3605,100,Economy,No,20kg,25.63,Z40,T3,10
Qatar Airways,7464,JFK-ATL,DOH,CDG,2023-06-25 14:07,2023-06-25 20:20,79,No,,493.96,256,B777,8877,100,Economy,No,2pc,54.34,I6,,18
Delta Air Lines,6287,ORD-DXB,CDG,FRA,2024-09-17 13:37,,-12,No,,454.44,153,A380,3845,100,Business,No,No,23.12,X34,T3,15
Lufthansa,2282,LOS-DXB,CDG,NBO,2024-08-05 02:40,2024-08-05 06:52,24,No,,633.51,197,CRJ900,-,83.26,Economy,Yes,2pc,46.2,Y16,T3,14
Lufthansa,9500,ATL-NBO,JFK,CDG,2022-04-04 03:34,2022-04-04 14:07,5,No,,316.58,124,B777,2893,100,Economy,No,2pc,39.76,D11,T1,14
British Airways,9217,LAX-LOS,IST,LHR,2025-08-14 09:44,2025-08-14 19:32,49,No,,490.44,242,A350,2623,92.07,First,No,No,41.91,I18,,14
Kenya Airways,3372,ATL-LHR,LOS,ATL,2022-05-24 15:52,2022-05-24 19:42,0,No,,493.62,245,B777,3646,66.26,Business,Yes,2pc,25.54,F34,T4,10
American Airlines,3306,ORD-DXB,FRA,LAX,2022-07-12 23:47,2022-07-13 09:43,-62,No,,282.89,123,CRJ900,8726,84.37,First,No,No,25.84,S30,T4,5
British Airways,4236,LOS-IST,FRA,LOS,2022-01-08 00:53,2022-01-08 06:03,55,No,,327.2,156,A350,8290,97.65,First,Yes,23kg,20.89,D15,T2,10
Emirates,8146,ATL-LOS,LHR,LAX,2020-10-25 00:00,2020-10-25 07:26,2,No,,347.76,281,A320,5695,100,Economy,No,No,,B14,T1,5
South African Airways,7268,SIN-LOS,NBO,DXB,2020-06-03 05:05,2020-06-03 09:31,7,No,,102.46,166,A350,924,83.48,First,Yes,23kg,13.63,X2,T4,5
Kenya Airways,4787,LAX-SIN,SIN,ORD,2023-05-05 16:54,2023-05-06 02:54,32,No,,272.26,27,B777,4619,91.94,Economy,No,1pc,28.37,D21,,14
United Airlines,3794,IST-LOS,SIN,NBO,2024-11-11 10:14,2024-11-11 21:42,29,-,,649.23,124,7B37,4894,81.32,Economy,Yes,No,46.34,M24,T4,8
South African Airways,3396,LOS-FRA,NBO,CDG,2024-09-03 17:48,2024-09-04 01:43,33,No,,557.54,4,A350,13236,100,Business,No,2pc,35.95,Y26,T2,
American Airlines,2755,LAX-NBO,SIN,LOS,2024-03-05 07:45,2024-03-05 15:04,-50,No,,234.01,91,A380,8789,72.94,Business,No,23kg,40.03,-,T1,17
,,IST-NBO,LHR,FRA,2021-04-22 04:29,2021-04-22 07:52,37,No,,346.85,229,A350,13338,100,Economy,No,23kg,13.56,I8,,15
South African Airways,8759,DXB-ATL,IST,IST,2020-06-18 08:10,2020-06-18 09:34,-61,No,,544.28,243,B777,691,97.26,First,Yes,1pc,20.06,F18,T4,6
United Airlines,3250,-,LOS,LAX,2023-01-26 01:21,2023-01-26 03:33,45,No,,438.68,69,A380,6713,69.15,-,No,1pc,41.84,K34,T2,9
British Airways,1509,FRA-DXB,LAX,LHR,2020-01-12 20:30,2020-01-13 08:01,59,No,,509.98,40,A380,10898,100,First,Yes,23kg,31.26,F50,T4,12
Qatar Airways,9637,LHR-FRA,DOH,IST,2023-08-21 12:36,2023-08-21 15:08,-39,No,,456.83,232,A350,4167,91.3,First,No,2pc,19.6,E47,T4,12
Singapore Airlines,497,FRA-LOS,AMS,SIN,2020-09-29 06:02,2020-09-29 15:26,28,No,,393.08,294,B737,10508,94.12,First,Yes,No,36.26,X31,T1,18
Qatar Airways,1676,LAX-JFK,ATL,AMS,2022-07-04  03:11,2022-07-04 14:08,57,No,,316.82,104,CRJ900,3265,90.43,First,No,23kg,,W46,T3,16
Singapore Airlines,3434,,LOS,,2025-08-18 19:48,2025-08-19 02:23,-2,No,,110.98,38,B777,4524,-,First,,No,55.38,,,18
Singapore Airlines,644,LOS-JFK,LOS,IST,2025-04-26 02:09,2025-04-26 10:13,41,No,,488.45,205,A350,4765,89.77,Business,No,1pc,35.99,F3,T4,4
Kenya Airways,2402,JFK-ATL,SIN,LAX,2025-02-07 19:18,2025-02-08 04:36,-96,No,,305.65,81,B737,9215,100,Economy,,,20.77,P10,T4,17
South African Airways,185,LOS-FRA,LOS,ATL,2024-02-01 07:52,2024-02-01 14:55,58,No,,20.42,183,A350,11361,88.54,First,Yes,1pc,38.81,I25,T4,9
Lufthansa,5991,LHR-SIN,ATL,DXB,2021-09-12 08:49,2021-09-12 20:18,16,No,-,240.87,23,B737,10185,90.27,First,,2pc,46.15,C32,-,10
Lufthansa,6785,LOS-NBO,JFK,SIN,2020-10-28 07:52,2020-10-28 12:10,4,No,,520.46,-,A350,6739,90.9,Economy,No,23kg,29.94,R50,T3,7
Kenya Airways,9410,JFK-LAX,LOS,DXB,2020-03-20 22:59,2020-03-21 06:51,54,No,,33.23,180,B777,9192,58.71,Economy,Yes,No,22.32,T26,T1,15
Ethiopian Airlines,9055,AMS-LOS,LOS,LHR,2021-10-04 23:31,2021-10-05 06:09,84,No,,,101.0,B777,4301,69.94,First,NO,23kg,30.44,J15,T4,12
Ethiopian Airlines,1279,LOS-LHR,SIN,FRA,2021-06-14 18:10,2021-06-15 06:08,34,No,,377.43,80,,6913,62.59,Economy,No,2pc,23.87,T47,T4,4
Qatar Airways,5682,DOH-AMS,JFK,ATL,2025-06-05 18:56,,79,No,,631.14,217,A380,767,84.84,First,No,No,27.42,L30,T1,6
American Airlines,3136,DXB-JFK,FRA,NBO,2022-06-25 15:02,2022-06-25 18:20,-47,No,,550,227,A380,4766,63.22,Business,No,1pc,16.11,M9,T1,15
British Airways,8753,SIN-LOS,NBO,DOH,2020-09-11 13:35,2020-09-11 23:36,,No,,650.33,74,A380,14031,100,Economy,Yes,,38.75,G46,T3,15
Turkish Airlines,8229,AMS-LAX,LOS,JFK,2024-01-11 07:59,2024-01-11 09:55,41,No,,391.56,142,CRJ900,1996,95.39,Business,,2pc,18.51,Z14,,9
Qatar Airways,3215,DOH-LOS,LAX,SIN,2020-12-24 20:58,2020-12-25 01:49,9,No,,308.16,156,CRJ900,11880,98.7,Economy,Yes,1pc,36.08,A31,T2,17
Singapore Airlines,3499,SIN-LHR,LHR,ORD,2022-08-16 00:29,2022-08-16 12:26,,No,,518.66,261,B777,2974,97.44,Economy,Yes,20kg,26.96,X48,T4,20
United Airlines,9444,IST-FRA,AMS,LOS,2023-05-19 21:18,2023-05-20 05:32,-16,Yes,,170.13,125,CRJ900,7050,89.38,First,Yes,2pc,32.23,P31,T1,11
Delta Air Lines,7861,ORD-LHR,LHR,LAX,2024-01-03 04:09,2024-01-03 11:32,-62,No,,154.52,238,B777,1917,86.94,-,NO,23kg,25.25,U26,T2,19
United Airlines,8305,NBO-IST,NBO,DXB,2024-02-28 13:42,2024-02-29 00:01,39,No,,118.98,73,,6688,83.54,Economy,Yes,23kg,31.96,P42,-,4
British Airways,5868,-,AMS,LHR,2025-08-15 18:43,2025-08-15 22:56,50,No,,567.78,202,CRJ900,12061,63.83,Business,No,23kg,34.33,E45,,19
Lufthansa,5940,CDG-IST,FRA,DXB,2022-04-03 08:09,2022-04-03 19:56,68,No,,183.08,285,A380,12382,100,Business,No,2pc,26.49,V40,T2,5
Qatar Airways,9253,SIN-FRA,LOS,JFK,2020-10-10 03:39,2020-10-10 13:32,62,No,,550.12,236.0,-,6203,100,Economy,No,20kg,12.7,T4,T4,19
South African Airways,2358,IST-LOS,LHR,LOS,2025-06-17 05:01,2025-06-17 14:38,-15,No,,379.69,249,A320,,100,First,,20kg,33.37,U6,T4,17
Air France,1200,-,IST,LOS,2024-08-17 12:58,2024-08-17 17:02,66,No,,570.35,123,B777,10538,100,Economy,No,20kg,33.91,Z32,T4,6
KLM,7290,LOS-LHR,AMS,ORD,2023-04-19 00:06,2023-04-19 05:57,70,Yes,,128.92,261,CRJ900,-,96.66,First,Yes,2pc,15.67,N50,T1,19
Qatar Airways,7104,FRA-DXB,CDG,IST,2021-07-28 09:44,2021-07-28 16:18,4,No,,224.9,269,B777,2326,100,Economy,No,No,20.19,Y40,,-
,6262,LOS-FRA,ATL,LOS,2023-02-26 17:17,2023-02-26 20:12,16,No,,440.8,291,A320,7852,,First,No,2pc,26.52,Y27,,17
American Airlines,1261,DOH-LAX,DXB,,2023-03-31 02:36,2023-03-31 04:24,-22,No,,263.81,137,,9793,88.66,Economy,No,2pc,,X23,T2,12
Emirates,9424,FRA-LAX,FRA,LOS,,2023-02-21 18:56,74,No,,148.67,40,CRJ900,4257,95.8,Economy,Yes,2pc,37.08,E31,T2,12
United Airlines,-,AMS-JFK,ATL,AMS,2021-08-02 16:37,2021-08-02 23:09,-45,No,,75.55,87,B737,3417,100,First,No,20kg,25.11,Z8,T2,18
British Airways,2183,LOS-NBO,ORD,NBO,2023-10-16 23:24,2023-10-17 09:40,36,No,,127.35,269,CRJ900,10991,87.73,Business,Yes,1pc,32.89,X6,T2,7
Emirates,8574,ORD-CDG,AMS,JFK,2020-05-18 14:52,2020-05-18 21:26,-8,No,,142.17,223,CRJ900,,98.6,Economy,No,23kg,19.38,O48,T2,16
Singapore Airlines,4986,SIN-ATL,LOS,LHR,2022-03-29 00:46,2022-03-29 10:37,-29.0,No,,486.36,226,B737,9552,72.65,Business,Yes,1pc,50.17,X6,T3,10
Emirates,1753,FRA-ORD,FRA,DOH,2023-09-28 05:25,2023-09-28 10:05,-59,No,,417.41,84,CRJ900,7881,92.45,First,No,1pc,15.79,J27,T4,7
South African Airways,2032,DOH-LOS,ATL,JFK,2023-12-15 21:14,2023-12-16 08:48,6,No,,382.44,259,B777,1112,95.25,First,No,20kg,25.02,E1,T4,16
British Airways,8270,SIN-DOH,DOH,IST,2022-03-29 08:35,,-35,No,,751.73,249,CRJ900,2367,86.08,,Yes,23kg,41.99,Q34,,
Turkish Airlines,3877,LHR-IST,LOS,LHR,2021-12-03 21:50,2021-12-03 22:52,17,No,,585.04,245,A320,2178,-,Business,Yes,1pc,18.51,T42,,7
Ethiopian Airlines,943,AMS-LHR,ATL,LAX,2022-04-14 09:26,2022-04-14 13:51,85,No,Weather,510.36,131,A320,14748,71.8,First,No,No,30.91,I15,T2,15
Singapore Airlines,9954,ATL-DOH,IST,ORD,2024-10-19 01:16,202-410-19 02:55,,No,,50.95,254,A350,14681,78.23,First,No,20kg,36.27,U50,,7
British Airways,8956,ATL-SIN,AMS,CDG,2020-07-10 12:09,2020-07-10 14:07,22,No,,361.91,275,CRJ900,5079,100,First,Yes,2pc,14.94,V1,T2,16
Singapore Airlines,5521,NBO-AMS,DOH,LHR,2021-04-14 13:07,2021-04-14 23:40,94,No,,409.74,196,CRJ900,11182,100,Business,Yes,1pc,23.31,O5,T4,13
British Airways,469,LAX-DOH,LOS,ORD,2025-09-04 18:03,2025-09-05 05:46,-24,No,,266.95,42,A320,6440,100,Business,Yes,1pc,31.9,H5,,20
Ethiopian Airlines,3770,DOH-ATL,FRA,SIN,2020-10-27 10:40,2020-10-27 20:06,-36,No,,691.28,26.0,-,1468,100,Business,No,,34.53,R18,T1,
British Airways,4849,SIN-DOH,DOH,NBO,2020-09-23 06:48,2020-09-23 17:19,,No,,360.24,150,A350,12344,100,First,Yes,No,21.78,M31,T1,15
Ethiopian Airlines,4218,DXB-FRA,ATL,LOS,2025-09-06 20:13,2025-09-06 23:14,-26,No,,104.33,9.0,CRJ900,6516,100,First,Yes,20kg,48.41,T20,T3,20
South African Airways,6496,SIN-DXB,LOS,AMS,2022-12-04 02:56,2022-12-04 11:54,12,No,,150.52,226,CRJ900,10237,100,Economy,No,2pc,34.81,A17,T3,17
South African Airways,5963,JFK-LHR,NBO,LOS,2024-08-09 05:21,2024-08-09 16:39,123,No,,806.47,194,A320,13786,95.45,First,No,20kg,37.77,Y9,T1,14
American Airlines,1213,IST-LOS,CDG,LAX,2023-07-10 05:04,2023-07-10 07:39,-51,No,,265.98,84,CRJ900,12394,92.05,Business,No,No,37.18,C12,T1,14
KLM,2686,LOS-DXB,LOS,CDG,2025-01-06 05:11,2025-01-06 13:04,39,No,,65.71,193,B777,,70.78,Business,No,1pc,14.37,V3,,5
,4819,IST-LOS,ORD,AMS,2021-12-07 20:34,2021-12-08 01:28,-12,No,,230.13,195,CRJ900,770,75.19,Economy,Yes,2pc,28.85,T12,T4,-
American Airlines,1325,,LOS,ORD,2024-09-15 23:33,2024-09-16 01:34,6,No,,15.32,160,A320,5309,100,First,No,1pc,29.84,W37,T4,16
American Airlines,-,LOS-JFK,CDG,IST,20200-7-08 11:16,2020-07-08 16:31,,No,,533.46,93,A350,7959,93.71,Economy,-,No,27.46,C25,,19
Singapore Airlines,9526,LAX-LOS,DOH,JFK,,2023-04-18 03:03,50,No,,40.97,144,CRJ900,11167,73.45,First,No,2pc,32.07,D3,T3,7
United Airlines,4055,LHR-CDG,LHR,AMS,2024-06-11 14:33,2024-06-11 21:20,13,No,,69.56,51,A320,6426,96.73,Business,,2pc,8.93,L28,T2,15
Delta Air Lines,8582,DOH-ATL,,LAX,2023-07-24 15:28,2023-07-24 18:31,,No,,350.8,162,A380,1393,87.44,Business,Yes,20kg,31.28,I20,T4,15
Air France,8292,CDG-LOS,ORD,LHR,2024-07-21 18:50,2024-07-22 03:51,58,No,,571.88,248,A380,1026,99.09,Business,No,No,26.97,N7,,6
Qatar Airways,5215,AMS-ORD,LOS,ORD,2024-01-15 05:28,2024-01-15 11:44,22,No,,336.11,112,B777,2638,89.41,Business,No,1pc,8.84,Z4,T1,14
Lufthansa,6640,SIN-IST,AMS,FRA,2024-11-14 08:40,2024-11-14 18:03,-62,No,,98.47,38,CRJ900,10205,88.74,Economy,No,2pc,34.22,B10,T4,13
Ethiopian Airlines,1028,FRA-CDG,CDG,FRA,2022-01-02 02:44,2022-01-02 04:31,58,No,,386.51,263,CRJ900,14246,95.23,First,Yes,2pc,18.19,R26,,6
Qatar Airways,9044,CDG-NBO,IST,LAX,2024-01-19 16:41,,-65,No,,256.44,25,CRJ900,7200,74.01,Economy,Yes,1pc,26.19,C8,T1,19
United Airlines,1916,DXB-DOH,DOH,CDG,2022-07-17 12:01,2022-07-17 15:16,-59,No,,576.54,72,CRJ900,11046,100,Business,No,2pc,27.46,Y17,T3,14
Singapore Airlines,9648,LOS-IST,JFK,ORD,,2020-09-02 11:38,-21,No,,520.96,9,B737,12616,88.27,First,Yes,20kg,11.54,L49,T2,14
Air France,7816,ATL-DOH,LAX,LOS,2023-05-11 14:44,2023-05-11 19:53,-21,No,,242.57,146,B737,10824,63.25,Economy,No,23kg,12.66,K31,T2,13
Turkish Airlines,4409,LHR-ATL,LAX,AMS,2020-04-17 21:32,2020-04-18 03:45,70,No,,505.95,10,B737,10836,85.33,First,No,2pc,35.45,P29,T3,4
British Airways,591,DXB-FRA,ATL,LOS,2024-04-08 23:23,2024-04-09 06:30,8,No,,404.25,135,A320,6208,100,Business,,23kg,23.96,P20,,20
South African Airways,628,JFK-FRA,LAX,DXB,2024-11-09 17:14,2024-11-10 01:22,64,No,,623.36,39,CRJ900,,84.79,Business,Yes,23kg,26.07,W1,T4,10
Qatar-Airways,5638,JFK-CDG,SIN,-,2024-05-24 16:41,2024-05-25 01:40,-.70,No,,497.44,4,A350,5012,53.52,First,No,1pc,30.73,B30,,12
United Airlines,7004,JFK-NBO,ATL,LOS,2024-11-10 13:02,2024-11-10 19:15,27,No,,459.4,235,B777,1552,89.41,Business,No,23kg,12.42,V8,T1,5
Ethiopian Airlines,4374,CDG-ORD,DOH,LHR,2025-10-06 00:39,2025-10-06 09:58,33,No,,615.59,52,,9817,78.1,Business,No,No,,H24,,13
Lufthansa,3385,LAX-DXB,-,ORD,2025-04-11 02:54,2025-04-11 09:48,42,No,,353.08,290,B737,12459,89.92,First,Yes,2pc,28.89,V3,T3,6
Delta Air Lines,5581,DXB-DOH,,ATL,2021-04-03 02:29,2021-04-03 11:33,-3.0,No,,195.38,35,A350,929,8.587,Business,Yes,2pc,47.65,W33,T4,9
Ethiopian Airlines,1073,DXB-ORD,DOH,LOS,2021-01-08 16:51,2021-01-08 21:21,0,No,,390.17,68,CRJ900,12612,91.17,Economy,No,23kg,20.8,W20,T2,5
Singapore Airlines,2382,IST-AMS,IST,JFK,2023-10-27 02:49,2023-10-27 04:32,3,No,,278.92,143,A380,13244,100,Business,Yes,23kg,37.89,G5,T1,18
American Airlines,3446,DOH-NBO,NBO,ORD,2021-06-21 02:47,2021-06-21 12:47,-51,No,,470.84,127,B777,4544,84.39,Business,No,2pc,29.98,X38,T4,12
Emirates,9063,LHR-CDG,ORD,DOH,2021-06-03 08:42,2021-06-03 19:12,11,No,,362.39,127,A320,3450,100,Business,No,20kg,18.64,J10,T3,4
United Airlines,5500,LHR-AMS,AMS,LOS,2021-10-20 07:40,2021-10-20 18:22,0,No,,430.59,233,,-,94.69,Economy,Yes,No,23.67,R36,T2,
Singapore Airlines,1121,AMS-LOS,DOH,NBO,2021-08-21 18:41,2021-08-21 21:12,38,No,,109.18,28,A320,7817,61.32,Economy,No,23kg,38.66,M13,T2,7
Ethiopian Airlines,3960,NBO-DXB,ORD,ATL,2021-01-27 01:06,2021-01-27 06:30,18,No,,451.66,92,A350,14402,91.08,Economy,No,,37.77,V3,T3,18
United Airlines,8186,LAX-DXB,,CDG,2020-05-12 14:08,2020-05-12 18:47,68,No,,92.96,,CRJ900,742,100,First,,2pc,24.8,F47,T3,12
Ethiopian Airlines,,FRA-ATL,JFK,NBO,2023-08-08 09:07,2023-08-08 17:28,17,No,,542.35,186,CRJ900,2935,86.39,Economy,Yes,23kg,-,E40,,14
Emirates,9338,ORD-NBO,ORD,LOS,2020-08-31 11:34,2020-08-31 19:14,-7,No,,542.65,224,A380,10324,98.3,Business,No,2pc,19.63,R42,,15
Lufthansa,679,DOH-DXB,LAX,JFK,2025-10-23 09:31,2025-10-23 17:10,17,No,,419.59,270,CRJ900,11017,88.37,Business,No,2pc,28.23,I19,T1,
United Airlines,5766,FRA-CDG,LHR,LOS,2023-09-14 17:16,2023-09-15 03:51,43,No,,412.02,51,A350,6990,100,Economy,Yes,1pc,25.7,Y40,T1,9
Emirates,1259,JFK-DXB,NBO,AMS,2021-09-19 08:11,2021-09-19 17:20,-55,No,,305.27,149,CRJ900,7710,78.3,First,Yes,2pc,39.32,X15,T1,16
,6919,DOH-SIN,LHR,LOS,2025-05-02 17:22,2025-05-03 02:26,,No,,229.35,202,CRJ900,14596,88.13,First,,2pc,34.63,J25,T2,13
American Airlines,9900,ATL-JFK,FRA,ATL,2021-04-04 10:36,2021-04-04 19:25,-13,No,,347,113,CRJ900,738,100.0,Business,No,2pc,23.24,Q40,T2,4
KLM,1420,CDG-FRA,DOH,ORD,2025-01-22 17:58,2025-01-23 04:31,-12,No,,746.54,183,B737,5609,84.6,Business,No,23kg,24.24,A20,T1,6
Ethiopian Airlines,9134,ORD-DXB,SIN,DOH,2022-03-12 05:24,2022-03-12 13:48,31,No,,395.86,162,B737,373,-,First,Yes,No,29.71,T29,,14
South African Airways,7944,FRA-LHR,LHR,DXB,2022-09-20 10:14,2022-09-20 15:42,36,No,,80.85,15,A380,3568,100,Business,No,20kg,,L13,T3,6
South African Airways,2221,ORD-DOH,AMS,NBO,2020-07-27 04:46,2020-07-27 10:12,19,No,,8.33,40,A350,5465,78.64,Economy,,2pc,27.2,K18,T4,4
-,4532,DXB-DOH,ATL,ORD,2020-09-27 09:14,2020-09-27 11:07,,No,,62.39,298,A320,6975,83.73,Business,Yes,-,26.48,O9,T4,6
American Airlines,783,CDG-NBO,LOS,CDG,2023-04-20 18:46,2023-04-21 04:33,-84,No,,274.48,107,B777,12955,83.95,Economy,No,,43.79,M33,,20
Delta Air Lines,1804,FRA-DOH,,-,2024-09-24 13:31,2024-09-24 23:10,-51,No,,603.16,,B737,13748,76.5,Economy,No,23kg,25.48,Q46,T3,18
South African Airways,683,ATL-ORD,IST,DXB,2023-05-19 12:56,2023-05-20 00:11,5,No,,145.3,107,CRJ900,13831,94.16,Economy,No,2pc,33,I47,T1,9
Air France,8236,LOS-SIN,LOS,ORD,2024-09-11 04:08,2024-09-11 06:06,-5,No,,634.35,32,A380,2958,87.71,First,No,2pc,54.23,L25,T4,11
South African Airways,8416,NBO-ATL,IST,DOH,2022-10-10 05:46,2022-10-10 07:25,15,No,,385.89,40,CRJ900,4093,88.53,First,No,23kg,21.54,J5,T2,13
KLM,3790,ATL-LOS,FRA,LHR,-,2022-05-08 07:57,-3,No,,446.69,15,A320,7590,100,Economy,Yes,23kg,31.93,O33,T1,5
Delta Air Lines,5838,ATL-CDG,DXB,DXB,2024-06-02 14:45,2024-06-02 22:10,76,No,,441.21,58,B777,13594,83.12,Business,Yes,2pc,32.44,G35,T3,10
Emirates,7169,,FRA,IST,2023-11-24 10:40,2023-11-24 21:45,-76,No,,468.13,165,B737,3261,95.44,Economy,No,1pc,29.89,K3,T1,20
American Airlines,7924,JFK-ATL,CDG,LOS,2020-02-08 09:54,2020-02-08 21:43,27,No,,267.73,261,A380,12537,62.55,Business,No,2pc,30.41,M22,T3,15
Delta Air Lines,5071,DOH-FRA,AMS,FRA,2025-04-19 18:33,2025-04-20 00:32,48,No,,116.88,154,CRJ900,4692,97.62,Business,Yes,2pc,21.21,K31,T4,8
South African Airways,3831,NBO-IST,FRA,LAX,2024-12-30 12:50,2024-12-30 20:24,43,No,,232.33,189,A380,6704,100,First,Yes,20kg,33.59,D9,T4,5
Kenya Airways,451,JFK-LOS,SIN,FRA,2024-06-11 13:02,2024-06-11 17:28,46,No,,172.42,202,A320,11137,73.19,Business,Yes,1pc,11.63,Z18,T3,7
British Airways,1006,LOS-LHR,ATL,JFK,2023-07-27 15:11,2023-07-27 21:46,52,No,,412.11,226,A350,4599,100,Business,Yes,2pc,47.98,T28,T1,6
Turkish Airlines,531,CDG-DOH,LAX,NBO,2020-12-15 14:00,2020-12-16 00:52,-9,No,,393.85,115,CRJ900,12842,100,Business,Yes,2pc,47.13,U38,T1,8
Delta Air Lines,3314,ORD-CDG,LHR,LHR,2023-07-11 15:03,2023-07-12 00:36,-29,No,,295.52,46,CRJ900,-,84.19,Economy,No,2pc,26.71,I21,T2,9
Air France,8852,JFK-NBO,LOS,ATL,2021-04-09 22:08,2021-04-10 02:05,-66,No,,701.1,112,CRJ900,13446,70.01,Business,Yes,1pc,40.52,C10,,19
American Airlines,6315,AMS-LOS,LOS,ATL,2021-04-05 10:34,2021-04-05 18:09,0,No,,221.85,244,B777,6708,78.94,Economy,No,2pc,27.07,U25,T4,5
